id,ten_san_pham,danh_muc,gia_ban,gia_goc,so_luong_da_ban,diem_danh_gia,so_luot_nhan_xet,dia_diem_kho,ton_kho,thuong_hieu,link_san_pham,so_luong_ban_trong_ngay,doanh_thu_ngay
2748304368,[VOUCHER 40% + MUA 2 GIẢM 5%] Giày Thể Thao Nike Men's Revolution 7 (Extra Wide) Road Running Shoes - Black,Giày chạy bộ nam,1789000,1789000,108,4.65625,32,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i2748304368.html,0,0.0
2994956266,[VOUCHER 40% + MUA 2 GIẢM 5%] Giày Nike Men's Revolution 7 Road Running Shoes - Cool Grey,Giày chạy bộ nam,1789000,1789000,101,4.8695652174,23,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i2994956266.html,0,0.0
2994861316,[VOUCHER 42% + MUA 2 GIẢM 5%] Giày Nike Men's Downshifter 13 Road Running Shoes - White,Giày chạy bộ nam,2069000,2069000,64,4.4285714286,14,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i2994861316.html,0,0.0
3132897497,[VOUCHER 42% + MUA 2 GIẢM 5%] Giày thể thao Nike Run Swift 3 Men's Road Running Shoes,Giày chạy bộ nam,2189000,2189000,36,4.6666666667,11,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i3132897497.html,0,0.0
3101947457,[VOUCHER 42% + MUA 2 GIẢM 5%] Giày thể thao nam Road Running Nike Interact Run EasyOn - WHITE,Giày chạy bộ nam,2339000,2339000,14,5.0,7,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i3101947457.html,0,0.0
3133057059,[VOUCHER 42% + MUA 2 GIẢM 5%] Giày thể thao Nike Revolution 8 Men's Road Running Shoes,Giày chạy bộ nam,1909000,1909000,39,4.9523809524,20,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i3133057059.html,0,0.0
3101923573,[VOUCHER 42% + MUA 2 GIẢM 5%] Giày thể thao nam Road Running Nike Downshifter 13 - WHITE,Giày chạy bộ nam,2069000,2069000,31,5.0,8,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i3101923573.html,0,0.0
2994723478,[VOUCHER 42% + MUA 2 GIẢM 5%] Giày Nike Men's Quest 6 Road Running Shoes - White,Giày chạy bộ nam,2339000,2339000,64,5.0,2,Thành phố Hồ Chí Minh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i2994723478.html,0,0.0
2995048159,[VOUCHER 42% + MUA 2 GIẢM 5%] Giày Nike Men's Free 2025 Road Running Shoes - Black,Giày chạy bộ nam,2919000,2919000,37,5.0,9,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i2995048159.html,0,0.0
3132902506,[VOUCHER 42% + MUA 2 GIẢM 5%] Giày thể thao Nike V5 RNR Men's Shoes,Giày chạy bộ nam,2649000,2649000,46,4.6666666667,9,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i3132902506.html,0,0.0
2994878315,[VOUCHER 40% + MUA 2 GIẢM 5%] Giày Nike Men's Downshifter 13 Road Running Shoes - Black,Giày chạy bộ nam,2069000,2069000,91,4.875,32,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i2994878315.html,0,0.0
3132964358,[VOUCHER 42% + MUA 2 GIẢM 5%] Giày thể thao Nike Pegasus Plus Men's Road Running Shoes,Giày chạy bộ nam,5269000,5269000,93,4.9666666667,30,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i3132964358.html,0,0.0
3132858912,[VOUCHER 42% + MUA 2 GIẢM 5%] Giày thể thao Nike P-6000 SE Men's Shoes,Giày chạy bộ nam,3239000,3239000,31,5.0,8,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i3132858912.html,0,0.0
2994642548,[VOUCHER 42% + MUA 2 GIẢM 5%] Giày Nike Men's Winflo 11 Road Running Shoes - White,Giày chạy bộ nam,2929000,2929000,63,5.0,11,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i2994642548.html,0,0.0
2994913305,[VOUCHER 42% + MUA 2 GIẢM 5%] Giày Nike Men's Interact Run EasyOn Road Running Shoes - Phantom,Giày chạy bộ nam,2339000,2339000,40,5.0,11,Thành phố Hồ Chí Minh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i2994913305.html,0,0.0
3132951365,[VOUCHER 40% + MUA 2 GIẢM 5%] Giày thể thao Nike Revolution 8 Men's Road Running Shoes,Giày chạy bộ nam,1909000,1909000,46,5.0,18,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i3132951365.html,0,0.0
3101995180,[HÀNG MỚI VỀ] Giày thể thao nam Road Running Nike Quest 6 - BLACK,Giày chạy bộ nam,2349000,2349000,69,5.0,23,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i3101995180.html,0,0.0
3133042068,[VOUCHER 42% + MUA 2 GIẢM 5%] Giày thể thao Nike Pegasus Trail 5 Men's Trail Running Shoes,Giày chạy bộ nam,4109000,4109000,51,4.75,16,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i3133042068.html,0,0.0
3133071042,[VOUCHER 40% + MUA 2 GIẢM 5%] Giày thể thao Nike Vomero 18 SE Men's Road Running Shoes,Giày chạy bộ nam,4539000,4539000,91,4.8387096774,31,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i3133071042.html,0,0.0
3102041023,[VOUCHER 42% + MUA 2 GIẢM 5%] Giày thể thao nam Road Running Nike Interact Run EasyOn - BLACK,Giày chạy bộ nam,2339000,2339000,34,5.0,7,Thành phố Hồ Chí Minh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i3102041023.html,0,0.0
2994829389,[VOUCHER 40% + MUA 2 GIẢM 5%] Giày Nike Men's Rival Fly 4 Road Running Shoes - Sail,Giày chạy bộ nam,2919000,2919000,41,4.875,15,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i2994829389.html,0,0.0
2994642547,[VOUCHER 42% + MUA 2 GIẢM 5%] Giày Nike Men's Free 2025 Running Shoes - Medium Olive,Giày chạy bộ nam,2919000,2919000,72,4.8333333333,18,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i2994642547.html,0,0.0
3102026069,[VOUCHER 42% + MUA 2 GIẢM 5%] Giày thể thao nam Road Running Nike Interact Run - GREY,Giày chạy bộ nam,2339000,2339000,9,5.0,4,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i3102026069.html,0,0.0
3132956392,[VOUCHER 42% + MUA 2 GIẢM 5%] Giày thể thao Nike Air Max Excee Men's Shoes,Giày chạy bộ nam,2929000,2929000,51,4.9333333333,15,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i3132956392.html,0,0.0
3101926586,[VOUCHER 42% + MUA 2 GIẢM 5%] Giày thể thao nam Road Running Nike Pegasus 41 - MULTI-COLOR,Giày chạy bộ nam,4109000,4109000,37,5.0,9,Thành phố Hồ Chí Minh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i3101926586.html,0,0.0
2994989248,[VOUCHER 42% + MUA 2 GIẢM 5%] Giày Nike Men's Downshifter 13 Road Running Shoes - Gym Red,Giày chạy bộ nam,2069000,2069000,17,5.0,5,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i2994989248.html,0,0.0
3101947456,[VOUCHER 40% + MUA 2 GIẢM 5%] Giày thể thao nam Road Running Nike Interact Run EasyOn - GREY,Giày chạy bộ nam,2339000,2339000,58,5.0,20,Thành phố Hồ Chí Minh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i3101947456.html,0,0.0
2994757457,[VOUCHER 42% + MUA 2 GIẢM 5%] Giày Nike Men's Quest 6 Road Running Shoes - Black,Giày chạy bộ nam,2339000,2339000,68,5.0,13,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i2994757457.html,0,0.0
2862917647,[VOUCHER 42% + MUA 2 GIẢM 5%] Giày Thể Thao Nike Men's Revolution 7 Road Running Shoes - White,Giày chạy bộ nam,1789000,1789000,27,5.0,9,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i2862917647.html,0,0.0
2994977252,[VOUCHER 42% + MUA 2 GIẢM 5%] Giày Nike Men's Winflo 11 Road Running Shoes - Light Armory Blue,Giày chạy bộ nam,2929000,2929000,60,5.0,9,Thành phố Hồ Chí Minh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i2994977252.html,0,0.0
3101909586,[VOUCHER 42% + MUA 2 GIẢM 5%] Giày thể thao nam Road Running Nike Interact Run - WHITE,Giày chạy bộ nam,2339000,2339000,44,5.0,3,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i3101909586.html,0,0.0
2748331243,[VOUCHER 42% + MUA 2 GIẢM 5%] Giày Thể Thao Nike Men's Interact Run Road Running Shoes - White,Giày chạy bộ nam,2339000,2339000,39,5.0,9,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i2748331243.html,0,0.0
2994917306,[VOUCHER 42% + MUA 2 GIẢM 5%] Giày Nike Men's Structure 25 Road Running Shoes - Black,Giày chạy bộ nam,3829000,3829000,30,5.0,7,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i2994917306.html,0,0.0
3132921404,[VOUCHER 42% + MUA 2 GIẢM 5%] Giày thể thao Nike Winflo 11 Men's Road Running Shoes,Giày chạy bộ nam,2929000,2929000,21,5.0,4,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i3132921404.html,0,0.0
3307910595,[HÀNG MỚI VỀ] Giày thể thao Nam Nike Revolution 8 EasyOn Men's Road Running Shoes - BLACK,Giày chạy bộ nam,1909000,1909000,0,5.0,2,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i3307910595.html,0,0.0
3102036040,[VOUCHER 42% + MUA 2 GIẢM 5%] Giày thể thao nam Road Running Nike Journey Run - BLACK,Giày chạy bộ nam,2649000,2649000,66,4.6,20,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i3102036040.html,0,0.0
2994791416,[VOUCHER 42% + MUA 2 GIẢM 5%] Giày Nike Men's Flex Experience Run 12 Road Running Shoes - Black,Giày chạy bộ nam,2059000,2059000,25,5.0,5,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i2994791416.html,0,0.0
3133066061,[VOUCHER 42% + MUA 2 GIẢM 5%] Giày thể thao Nike LD-1000 Men's Shoes,Giày chạy bộ nam,2919000,2919000,10,5.0,3,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i3133066061.html,0,0.0
2862856970,[VOUCHER 42% + MUA 2 GIẢM 5%] Giày Thể Thao Nike Men's Winflo 11 Road Running Shoes - Photon Dust,Giày chạy bộ nam,2929000,2929000,80,4.8333333333,18,Thành phố Hồ Chí Minh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i2862856970.html,0,0.0
2994956265,[VOUCHER 40% + MUA 2 GIẢM 5%] Giày Nike Men's Revolution 7 Road Running Shoes - Black,Giày chạy bộ nam,1789000,1789000,94,4.8461538462,39,Thành phố Hồ Chí Minh,Hết hàng,Nike,https://www.lazada.vn/products/pdp-i2994956265.html,0,0.0
2748397074,[VOUCHER 40% + MUA 2 GIẢM 5%] Giày Thể Thao Nike Men's Revolution 7 (Extra Wide) Road Running Shoes - Black,Giày chạy bộ nam,1789000,1789000,98,4.8095238095,21,Thành phố Hồ Chí Minh,Hết hàng,Nike,https://www.lazada.vn/products/pdp-i2748397074.html,0,0.0
3307903586,[HÀNG MỚI VỀ] Giày thể thao Nam Nike Revolution 8 EasyOn Men's Road Running Shoes - WHITE,Giày chạy bộ nam,1909000,1909000,0,,0,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i3307903586.html,0,0.0
2748228511,[HÀNG MỚI VỀ] Giày Thể Thao Nike Men's Winflo 11 Road Running Shoes - Black,Giày chạy bộ nam,2929000,2929000,199,4.8958333333,48,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i2748228511.html,0,0.0
3307837949,[HÀNG MỚI VỀ] Giày thể thao Nam Nike Revolution 8 Men's Road Running Shoes (Extra Wide) - PLATINUM GLACIER,Giày chạy bộ nam,1909000,1909000,0,,0,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i3307837949.html,0,0.0
3307898598,[HÀNG MỚI VỀ] Giày thể thao Nam Nike Revolution 8 Men's Road Running Shoes (Extra Wide) - BLACK,Giày chạy bộ nam,1909000,1909000,0,,0,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i3307898598.html,0,0.0
2863005241,[VOUCHER 42% + MUA 2 GIẢM 5%] Giày Thể Thao Nike Men's Run Swift 3 Road Running Shoes - White,Giày chạy bộ nam,2189000,2189000,18,5.0,3,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i2863005241.html,0,0.0
2748316282,[VOUCHER 42% + MUA 2 GIẢM 5%] Giày Thể Thao Nike Men's Revolution 7 Road Running Shoes - White,Giày chạy bộ nam,1789000,1789000,56,4.8,20,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i2748316282.html,0,0.0
3102026070,[VOUCHER 42% + MUA 2 GIẢM 5%] Giày thể thao nam Road Running Nike Interact Run - ORANGE,Giày chạy bộ nam,2339000,2339000,16,4.8333333333,6,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i3102026070.html,0,0.0
2862875871,[VOUCHER 40% + MUA 2 GIẢM 5%] Giày Thể Thao Nike Men's Revolution 7 Road Running Shoes - Pure Platinum,Giày chạy bộ nam,1789000,1789000,91,4.8857142857,35,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i2862875871.html,0,0.0
3133029093,[VOUCHER 42% + MUA 2 GIẢM 5%] Giày thể thao Nike Winflo 11 Men's Road Running Shoes,Giày chạy bộ nam,2929000,2929000,19,4.9,10,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i3133029093.html,0,0.0
2994741414,[VOUCHER 42% + MUA 2 GIẢM 5%] Giày Nike Men's Pegasus Trail 5 Running Shoes - Light Silver,Giày chạy bộ nam,4109000,4109000,64,5.0,16,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i2994741414.html,0,0.0
3102017083,[VOUCHER 42% + MUA 2 GIẢM 5%] Giày thể thao nam Road Running Nike Structure 25 - BLACK,Giày chạy bộ nam,3829000,3829000,28,4.6666666667,12,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i3102017083.html,0,0.0
2994927293,[VOUCHER 42% + MUA 2 GIẢM 5%] Giày Nike Men's React Phantom Run Flyknit 2 Road Running Shoes - True White,Giày chạy bộ nam,4109000,4109000,11,5.0,6,Thành phố Hồ Chí Minh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i2994927293.html,0,0.0
2994864340,[VOUCHER 42% + MUA 2 GIẢM 5%] Giày Nike Men's React Phantom Run Flyknit 2 Road Running Shoes - Iron Grey,Giày chạy bộ nam,4109000,4109000,35,5.0,8,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i2994864340.html,0,0.0
3132856943,[VOUCHER 42% + MUA 2 GIẢM 5%] Giày thể thao Nike Pegasus Plus Men's Road Running Shoes,Giày chạy bộ nam,5269000,5269000,29,5.0,11,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i3132856943.html,0,0.0
3307938371,[HÀNG MỚI VỀ] Giày thể thao Nam Nike Revolution 8 Men's Road Running Shoes - WHITE,Giày chạy bộ nam,1909000,1909000,0,,0,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i3307938371.html,0,0.0
2748125857,[VOUCHER 42% + MUA 2 GIẢM 5%] Giày Thể Thao Nike Men's Winflo 11 Road Running Shoes - Glacier Blue,Giày chạy bộ nam,2919000,2919000,87,4.6923076923,26,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i2748125857.html,0,0.0
3132902507,[VOUCHER 42% + MUA 2 GIẢM 5%] Giày thể thao Nike Pegasus Trail 5 GORE-TEX Men's Waterproof Trail Running Shoes,Giày chạy bộ nam,4989000,4989000,32,4.8,5,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i3132902507.html,0,0.0
2862903671,[VOUCHER 42% + MUA 2 GIẢM 5%] Giày Thể Thao Nike Men's Interact Run Road Running Shoes - Astronomy Blue,Giày chạy bộ nam,2339000,2339000,20,5.0,3,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i2862903671.html,0,0.0
2994792411,[VOUCHER 42% + MUA 2 GIẢM 5%] Giày Nike Men's Structure 25 Road Running Shoes - Hyper Royal,Giày chạy bộ nam,3829000,3829000,29,5.0,6,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i2994792411.html,0,0.0
