Time,Time Code,Country Name,Country Code,GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],"Agriculture, forestry, and fishing, value added (% of GDP) [NV.AGR.TOTL.ZS]","Industry (including construction), value added (% of GDP) [NV.IND.TOTL.ZS]","Services, value added (% of GDP) [NV.SRV.TOTL.ZS]","GDP per capita, PPP (constant 2021 international $) [NY.GDP.PCAP.PP.KD]",Trade (% of GDP) [NE.TRD.GNFS.ZS],Exports of goods and services (% of GDP) [NE.EXP.GNFS.ZS],Imports of goods and services (% of GDP) [NE.IMP.GNFS.ZS],"Foreign direct investment, net inflows (% of GDP) [BX.KLT.DINV.WD.GD.ZS]",Net ODA received (% of GNI) [DT.ODA.ODAT.GN.ZS],Urban population growth (annual %) [SP.URB.GROW],Forest area (% of land area) [AG.LND.FRST.ZS],Agricultural land (% of land area) [AG.LND.AGRI.ZS],Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],Sex ratio at birth (male births per female births) [SP.POP.BRTH.MF],"Population, female (% of total population) [SP.POP.TOTL.FE.ZS]","Birth rate, crude (per 1,000 people) [SP.DYN.CBRT.IN]","Death rate, crude (per 1,000 people) [SP.DYN.CDRT.IN]","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate) [SL.TLF.CACT.FE.ZS]","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate) [SL.TLF.CACT.MA.ZS]","Unemployment, total (% of total labor force) (modeled ILO estimate) [SL.UEM.TOTL.ZS]","Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]",Employment in agriculture (% of total employment) (modeled ILO estimate) [SL.AGR.EMPL.ZS],Employment in industry (% of total employment) (modeled ILO estimate) [SL.IND.EMPL.ZS],Employment in services (% of total employment) (modeled ILO estimate) [SL.SRV.EMPL.ZS]
2006,YR2006,Thailand,THA,4.96781089246107,9.40199346621521,39.146855883906,51.4511506498788,15051.0606748719,134.086946191268,68.6753420333013,65.4116041579669,4.0212567065949,-0.100307247856215,4.21365376919,38.4485897159858,43.9487952396798,3.09970832,1.064,50.5664662796531,13.208,6.58,64.281,81.062,1.22,4.63747436011765,39.9305598007439,20.4491402126191,39.6202892619507
2006,YR2006,Viet Nam,VNM,6.97795481056711,18.7267854535521,38.5847310338981,42.6884835125499,6098.24495436514,138.313621869598,67.7168143260187,70.5968075435795,3.61600090432522,2.60232903445206,3.54798566946169,40.7502549593184,32.2191850892757,4.56979847,1.098,51.245213200479,17.249,5.772,70.727,78.814,2.046,7.41801715108463,50.5289801091515,19.5708016119931,29.900225117951
2007,YR2007,Thailand,THA,5.43515169050809,9.3476847010693,39.4313718771557,51.220943421775,15742.6552891781,129.873226989717,68.8722751702483,61.0009518194692,3.28356939351343,-0.120958244825058,3.9477661246727,38.6590068312161,44.1288731429466,3.19277525,1.064,50.5813667393148,12.926,6.587,64.808,81.31,1.18,2.24154095286803,39.3934223006865,20.724798132307,39.8817795670065
2007,YR2007,Viet Nam,VNM,7.12950448605439,18.655099701709,38.5116248479069,42.8332754503841,6418.54381402878,154.605383996554,70.517874602272,84.0875093942823,8.65471771434805,3.11873414046993,3.88392022435259,41.2943261730623,32.1943447296182,4.62917614,1.116,51.306121509505,17.537,5.799,71.138,79.286,2.026,8.34444889773837,49.2835644508915,20.3881132940118,30.3283222550968
2008,YR2008,Thailand,THA,1.72569884866334,10.0724338253633,39.4796129651304,50.4479532095063,15891.7823409885,140.437011540931,71.4164181071068,69.0205934338244,2.93824905393328,-0.219233287590922,3.65401247060574,38.8694239464464,44.3109084147272,3.45933938,1.064,50.5951375506268,12.525,6.584,64.867,81.259,1.18,5.46848949649845,38.9917676366181,20.7177521610165,40.2904802023655
2008,YR2008,Viet Nam,VNM,5.66177120891362,20.4131439246507,37.0776963788801,42.5091596964692,6659.13561432065,154.317479627758,70.3366919402715,83.9807876874868,9.6630390545572,2.41265527442172,3.8121097980197,41.7762218982583,32.7399677741119,4.36028337,1.121,51.3624799103708,17.664,5.828,71.55,80.008,1.889,23.1154483474477,48.5137210815112,21.0771358253329,30.4091345807313
2009,YR2009,Thailand,THA,-0.690618232300579,9.78703375942043,38.6085988884387,51.6043673521408,15665.9031153449,119.269418854589,64.4386124917652,54.8308063628242,2.27590224065624,-0.0114163265106956,3.33880904832821,39.0798410616767,44.4929436865079,3.61939645,1.064,50.6090434855114,12.188,6.571,64.659,81.394,1.49,-0.845716092316721,38.7622539321171,20.5722949642587,40.6654511036242
2009,YR2009,Viet Nam,VNM,5.39789754014181,19.1684598670425,37.3881863793419,43.4433537536156,6914.33863589545,134.706317721758,62.6088840664865,72.0974336552711,7.16881988884276,3.28052266497676,3.3219726496492,42.2930662932198,32.9068109297165,4.48502922,1.105,51.3783891576149,17.528,5.872,71.906,80.566,1.737,6.71698269988629,47.5525771385783,21.8479630251233,30.5994639675695
2010,YR2010,Thailand,THA,7.51339053261624,10.5221756369849,39.9217256985357,49.5560986644794,16730.3697884488,127.250522638251,66.4861731592239,60.7643494790272,4.32320928209171,-0.00638280855894968,2.97584762605635,39.290258176907,44.6749789582885,3.39009809,1.064,50.6316681147925,12.009,6.607,63.685,80.008,0.622,3.24758842443723,38.2444915040201,20.6443965301725,41.1111094017186
2010,YR2010,Viet Nam,VNM,6.42324482239482,15.3750906872381,33.0228771360005,40.6273720032231,7274.73310698016,113.977687539714,54.1758459668515,59.8018415728627,5.4347392933443,1.33844437226168,2.78509907779886,42.7332154461943,34.3450560815081,5.07146072,1.112,51.3548081347433,17.409,5.911,71.731,81.233,1.114,9.20746648778413,48.7073170030533,21.6785952420111,29.6140897652962
2011,YR2011,Thailand,THA,0.840132083053334,11.5917917775207,37.9813982711097,50.4268099513695,16766.3477057883,139.675407224576,70.8549093801611,68.8204978444147,0.667087644548593,-0.0370621023919577,2.43027274329167,39.2855604924739,44.6828084323436,3.56825495,1.064,50.6652449987543,11.943,6.644,65.806,81.009,0.66,3.80879058139634,41.0084617444297,19.4406386224083,39.5508996331619
2011,YR2011,Viet Nam,VNM,6.41316889681683,16.2591484896283,34.580408780539,38.9070145300747,7652.61895672271,125.260577940829,61.1801557211956,64.0804222196337,4.30487434902161,1.98615765962449,2.62585841969135,43.1647323195567,34.3732843043373,4.97468519,1.119,51.3296014661249,17.588,5.947,71.715,81.466,0.999,18.6777322770707,48.3142512169317,21.2757181730152,30.4100306100531
2012,YR2012,Thailand,THA,7.24279620249642,11.5041001535767,37.343694137461,51.1522057089623,17869.6376607459,137.67493851024,68.9512356297981,68.7237028804414,3.24456444314608,-0.0346318176482192,1.88087335113663,39.2808628080409,44.6906379063986,3.5229404,1.064,50.7031112260945,11.758,6.696,65.071,80.969,0.58,3.01489950334985,42.1429847927673,19.8224243928808,38.0345908143519
