model,mae,rmse,r2,train_start_date,train_end_date,test_start_date,test_end_date
gradient_boosting,0.4500519493382831,2.7737048174517933,-0.0013741571554521936,2026-02-20,2026-03-14,2026-03-15,2026-03-20
linear_regression,0.4536275897876664,2.746722996950698,0.018013256727782312,2026-02-20,2026-03-14,2026-03-15,2026-03-20
baseline_dummy,0.45772974655686793,2.779550762014067,-0.0055996585734221505,2026-02-20,2026-03-14,2026-03-15,2026-03-20
random_forest,0.5024525249678704,2.7973302837965646,-0.01850553059649207,2026-02-20,2026-03-14,2026-03-15,2026-03-20
