product_id,product_name,category,warehouse_location,stock_status,selling_price,original_price,discount_rate,rating_score,review_count,cumulative_units_sold,latest_snapshot_date,avg_daily_units_sold,avg_daily_revenue,total_period_revenue,avg_discount_rate,avg_rating_score,avg_review_count,stock_availability_rate,observation_days,sales_volatility,segment_id,pca_component_1,pca_component_2,distance_to_center,representative_rank,is_representative_product
2862868867,Giày Thể Thao Nike Men's P-6000 Shoes - White,Giày sneaker nam,Tây Ninh,Còn hàng,2929000,2929000,0.0,5.0,23,62,2026-03-20,0.1724137931034483,500931.0344827586,14527000.0,0.007275638384290272,5.0,21.551724137931036,1.0,29,0.4682006222337797,0,0.10996368187189394,0.5457512918437689,1.6037801628066142,393,False
2862871956,Tất Cổ Cao Nike Everyday Plus Cushioned Crew Socks (3 Pairs) - Multi-Color,"Tất, Găng tay thể thao và đồ bảo hộ",Thành phố Hồ Chí Minh,Hết hàng,509000,509000,0.0,5.0,25,112,2026-03-16,0.08,40720.0,1018000.0,0.0007858546168958742,5.0,25.0,0.88,25,0.4,0,-0.19506802025488315,1.8916906673662728,2.804805238455552,537,False
2862874851,Giày Thể Thao Nike Men's Air Max Monarch IV Shoes - Black,Giày sneaker nam,Tây Ninh,Còn hàng,1899000,1909000,0.005238344683080147,4.72,25,96,2026-03-14,0.0,0.0,0.0,0.0032662619788617385,4.72,25.0,0.8823529411764706,17,0.0,0,-0.31850978585051637,1.4779711496051589,2.199931684666387,502,False
2862875863,Áo Thun Tay Ngắn Nike Men's Liverpool FC Soccer T-Shirt - Gym Red,Áo thun thể thao nam,Tây Ninh,Còn hàng,819000,819000,0.0,5.0,5,20,2026-03-20,0.034482758620689655,28241.379310344826,819000.0,0.0014736221632773356,5.0,5.0,1.0,29,0.18569533817705186,0,-0.5136265304917403,-0.22320936187942683,1.4169262941249081,332,False
2862875871,Giày Thể Thao Nike Men's Revolution 7 Road Running Shoes - Pure Platinum,Giày chạy bộ nam,Tây Ninh,Còn hàng,1789000,1789000,0.0,4.8888888889,36,92,2026-03-20,0.034482758620689655,61689.65517241379,1789000.0,0.005782463715040188,4.886918445534483,35.37931034482759,1.0,29,0.18569533817705186,0,-0.14726143629429378,1.7468585352372137,2.246936034815583,508,False
2862883826,Giày Thể Thao Nike Women's Air Max Nuaxis Shoes - White,Giày thể thao,Tây Ninh,Còn hàng,2649000,2649000,0.0,5.0,3,15,2026-03-20,0.0,0.0,0.0,0.007263638848752294,5.0,3.0,1.0,29,0.0,0,-0.6246810931316448,-0.7494440943172754,1.0100891952604893,124,False
2862883833,Áo Thun Tay Ngắn Nike Women's Sportswear Boxy T-Shirt - Sail,Áo thun thể thao nữ,Tây Ninh,Còn hàng,919000,919000,0.0,5.0,8,36,2026-03-03,0.08333333333333333,76583.33333333333,919000.0,0.0,5.0,8.0,1.0,12,0.2886751345948129,0,-0.4409028756785796,0.04768688778049178,1.3057085356415195,291,False
2862884746,Tất Nike Everyday Cushioned Training Low Socks (3 Pairs) - White,"Tất, Găng tay thể thao và đồ bảo hộ",Tây Ninh,Còn hàng,459000,459000,0.0,5.0,46,236,2026-03-20,0.1724137931034483,79137.93103448275,2295000.0,0.00075125835774923,5.0,46.0,1.0,29,0.4682006222337797,2,0.24085845370444922,3.8682841862001363,1.757039591946493,7,False
2862886780,Dép Xỏ Ngón Nike Women's Calm Flip Flops - Platinum Violet,Giày thể thao,Tây Ninh,Còn hàng,1479000,1479000,0.0,5.0,5,16,2026-03-20,0.034482758620689655,49965.51724137931,1449000.0,0.008439999067403418,5.0,5.0,1.0,29,0.18569533817705186,0,-0.5148229937874265,-0.4035792337503434,0.930042846600715,72,False
2862889749,Tất Nike Everyday Lightweight Training No-Show Socks (3 Pairs) - Black,"Tất, Găng tay thể thao và đồ bảo hộ",Thành phố Hồ Chí Minh,Còn hàng,459000,459000,0.0,4.9696969697,33,211,2026-03-20,2.6551724137931036,1217689.6551724137,35313000.0,0.00225377507324769,4.962317136851724,26.655172413793103,1.0,29,7.052232990180007,2,2.1647507612551316,2.7589530636801385,2.8247092942740775,26,False
2862889752,Tất Nike Everyday Essential Ankle Socks (3 Pairs) - Black,"Tất, Găng tay thể thao và đồ bảo hộ",Tây Ninh,Còn hàng,459000,459000,0.0,5.0,31,149,2026-03-20,0.3448275862068966,158275.8620689655,4590000.0,0.0,5.0,29.79310344827586,1.0,29,1.078221487614989,2,0.14868812264035192,2.2980312277241426,2.6253186390049406,25,False
2862891762,Tất Nike Everyday Cushioned Training No-Show Socks (3 Pairs) - Black,"Tất, Găng tay thể thao và đồ bảo hộ",Thành phố Hồ Chí Minh,Còn hàng,459000,459000,0.0,5.0,19,151,2026-03-20,0.41379310344827586,189241.37931034484,5488000.0,0.00225377507324769,5.0,18.103448275862068,1.0,29,0.8667361346416775,0,0.07650602090686064,1.746836559029483,2.501507397953394,525,False
2862894723,Giày Thể Thao Nike Men's Promina Walking Shoes - Dusty Cactus,Giày thể thao,Thành phố Hồ Chí Minh,Còn hàng,1909000,1909000,0.0,4.5,8,27,2026-03-20,0.034482758620689655,65827.58620689655,1909000.0,0.004732573472299995,4.465517241393104,7.517241379310345,0.9655172413793104,29,0.18569533817705186,0,-0.4380376221041996,-0.12587415912302113,0.950315263516733,88,False
