nam,corr_lich_su_dia_ly,corr_toan_vat_ly,corr_vat_ly_hoa_hoc,n_pairs
2020,0.577,0.682,0.718,1784312
2021,0.591,0.679,0.721,1836407
2022,0.608,0.681,0.724,1993218
2023,0.624,0.684,0.726,2080147
2024,0.661,0.688,0.731,2124893
