product_id,product_name,category,warehouse_location,stock_status,selling_price,original_price,discount_rate,rating_score,review_count,cumulative_units_sold,latest_snapshot_date,avg_daily_units_sold,avg_daily_revenue,total_period_revenue,avg_discount_rate,avg_rating_score,avg_review_count,stock_availability_rate,observation_days,sales_volatility,segment_id
3104369213,Giày thể thao nữ Nike Court Vision Alta - WHITE,Giày thể thao,Tây Ninh,Hết hàng,2349000,2349000,0.0,5.0,7,32,2026-02-25,0.16666666666666666,391500.0,2349000.0,0.0,5.0,7.0,0.6666666666666666,6,0.408248290463863,0
3104369249,Giày thể thao nam Road Running Nike Flex Experience Run 12 - WHITE,Giày tập huấn luyện nam,Tây Ninh,Còn hàng,2069000,2069000,0.0,4.75,4,18,2026-03-20,4.5,9310500.0,37242000.0,0.0,4.75,4.0,1.0,4,9.0,0
3132856943,Giày thể thao Nike Pegasus Plus Men's Road Running Shoes,Giày chạy bộ nam,Tây Ninh,Còn hàng,5279000,5279000,0.0,4.7333333333,15,41,2026-03-20,0.41379310344827586,2183034.4827586208,63308000.0,0.0017244645341659536,4.863306808124138,12.551724137931034,1.0,29,0.732765864930867,0
3132858912,Giày thể thao Nike P-6000 SE Men's Shoes,Giày chạy bộ nam,Tây Ninh,Còn hàng,3239000,3239000,0.0,5.0,9,35,2026-03-20,0.13793103448275862,446413.7931034483,12946000.0,0.0017246702366630826,5.0,8.655172413793103,1.0,29,0.44111368238604587,0
3132897497,Giày thể thao Nike Run Swift 3 Men's Road Running Shoes,Giày chạy bộ nam,Tây Ninh,Còn hàng,2189000,2189000,0.0,4.7142857143,14,38,2026-03-20,0.06896551724137931,150965.5172413793,4378000.0,0.0,4.681444991817242,12.413793103448276,1.0,29,0.25788071477756375,0
3132902506,Giày thể thao Nike V5 RNR Men's Shoes,Giày chạy bộ nam,Tây Ninh,Còn hàng,2649000,2649000,0.0,4.75,12,51,2026-03-20,0.1724137931034483,451206.8965517241,13085000.0,0.001041381913799612,4.7238244514241385,11.0,1.0,29,0.5391107438074945,0
3132902507,Giày thể thao Nike Pegasus Trail 5 GORE-TEX Men's Waterproof Trail Running Shoes,Giày chạy bộ nam,Tây Ninh,Còn hàng,4999000,4999000,0.0,4.8333333333,6,36,2026-03-20,0.20689655172413793,1033586.2068965518,29974000.0,0.0,4.819540229865517,5.586206896551724,1.0,29,0.4913036844405175,0
3132909501,Giày thể thao Nike Revolution 8 Men's Road Running Shoes,Giày chạy bộ nam,Tây Ninh,Còn hàng,1909000,1909000,0.0,5.0,27,80,2026-03-20,0.5517241379310345,1053241.3793103448,30544000.0,0.0,5.0,23.96551724137931,1.0,29,1.0551305571401284,0
3132909604,Giày thể thao Nike Air Max SNDR GTX Women's Shoes,Giày chạy bộ nữ,Tây Ninh,Còn hàng,6179000,6179000,0.0,5.0,0,5,2026-03-14,0.0,0.0,0.0,0.0,,0.0,1.0,23,0.0,0
3132916678,Giày thể thao Nike Field General Big Kids' Shoes,Giày chạy bộ bé trai,Tây Ninh,Còn hàng,2169000,2169000,0.0,5.0,4,19,2026-03-20,0.0,0.0,0.0,0.001049267897171746,5.0,4.0,1.0,29,0.0,0
