review_id,product_id,date_key,review_date,rating,review_comment,sku
REV_07026,3132976303,20260307,2026-03-07,5,"Hình thức đẹp ,gom giày hơi ôm so với cung loại kích cỡ , nên giày fom này nên tăng hẳn nên 1sizse nhé các pro",
REV_07027,3133057059,20260228,2026-02-28,5,"Lớp trên bằng lưới thoáng khí nhẹ, Đệm giữa foam phản hồi êm ái,",
REV_07028,3102017083,20260307,2026-03-07,5,Tuyệt vời ko có gì để chê thiết kế hoàn hảo,
REV_07029,2862941509,20260228,2026-02-28,5,"Great experience overall — quality, service, and delivery exceeded expectations. Would definitely recommend!",
REV_07030,2994921303,20260314,2026-03-14,5,"Size hơi to, nên giảm 0,5 khi chọn size",
REV_07031,2748374106,20260228,2026-02-28,5,,
REV_07032,2748376171,20260228,2026-02-28,5,,
REV_07033,3309002174,20260314,2026-03-14,5,,
REV_07034,2748113965,20260307,2026-03-07,5,I like this model. Nice for sports,
REV_07035,2748113965,20260314,2026-03-14,5,,
REV_07036,2748113965,20260228,2026-02-28,5,,
REV_07037,3132909501,20260314,2026-03-14,5,Good,
REV_07038,3133088056,20260314,2026-03-14,5,"Hàng chính hãng, chất lượng tốt ! Shop giao hàng nhanh chóng và đóng gói cẩn thận ! Sẽ tiếp tục mua hàng xuae Nike Vietnam !",
REV_07039,3133088056,20260307,2026-03-07,5,"Thoáng khí cho thời tiết nóng,",
REV_07040,2995060106,20260228,2026-02-28,5,"Vật liệu tái chế từ Nike Grind,",
REV_07041,2995060106,20260228,2026-02-28,5,"Tốt cho tập luyện hàng ngày,",
REV_07042,3215016465,20260307,2026-03-07,5,"Chất liệu thoáng khí, Thiết kế nhẹ, giao hàng nhanh, sản phẩm đẹp vừa vặn",
REV_07043,3214977774,20260307,2026-03-07,5,"Tông màu đẹp,",
REV_07044,2862859949,20260314,2026-03-14,5,đẹp bắt mắt tốt mang thoải mái chan,
REV_07045,2995053161,20260307,2026-03-07,4,,
REV_07046,3102001132,20260228,2026-02-28,5,,
REV_07047,2748220562,20260314,2026-03-14,5,"rất vừa chân. đi êm. nhẹ. đế phía sau hơi to chút nhưng vẫn rát đẹpChất liệu Flyknit nhẹ nhàng, Khu vực ngón chân thoáng khí,",
REV_07048,2748220562,20260228,2026-02-28,5,Giống mô tả,
REV_07049,3101855831,20260314,2026-03-14,5,"Phong cách biểu tượng Nike Cortez,",
REV_07050,3132897497,20260228,2026-02-28,5,,
REV_07051,3101947457,20260314,2026-03-14,5,"Hàng chính hãng, chất lượng tốt ! Shop giao hàng nhanh chóng và đóng gói cẩn thận ! Sẽ tiếp tục mua hàng xuae Nike Vietnam !",
REV_07052,3101947457,20260314,2026-03-14,5,,
REV_07053,3101923573,20260314,2026-03-14,5,,
REV_07054,2994878315,20260228,2026-02-28,1,"Cửa hàng không cho đổi trả, quy trách nhiệm cho shipper, gian hàng không uy tín mọi người nên tránh",
REV_07055,2994878315,20260307,2026-03-07,5,,
REV_07056,3132964358,20260314,2026-03-14,5,ok,
REV_07057,3132964358,20260314,2026-03-14,5,,
REV_07058,2994642548,20260307,2026-03-07,5,thank,
REV_07059,3133071042,20260314,2026-03-14,5,,
REV_07060,3102026069,20260314,2026-03-14,5,,
REV_07061,3132956392,20260314,2026-03-14,5,,
REV_07062,2994757457,20260307,2026-03-07,5,,
REV_07063,2862917647,20260307,2026-03-07,5,"Độ vừa vặn tuyệt vời, Vải thoáng khí,",
REV_07064,3102026070,20260314,2026-03-14,5,,
REV_07065,3133029093,20260307,2026-03-07,5,,
REV_07066,2994927293,20260314,2026-03-14,5,"Màu trắng thật, Thiết kế nhẹ nhàng, Đệm phản hồi nhanh,
rất mo. se ủng hộ thêm nữa ng sẽ bền bỉ ok ok ok",
REV_07067,2994846382,20260314,2026-03-14,5,,
REV_07068,2994951260,20260307,2026-03-07,5,,
REV_07069,3307880692,20260314,2026-03-14,5,,
REV_07070,3307899561,20260314,2026-03-14,5,,
REV_07071,3101909596,20260307,2026-03-07,5,,
REV_07072,3102037077,20260314,2026-03-14,5,,
REV_07073,2995035189,20260307,2026-03-07,5,"отличные кроссовки, ходить в два раза легче чем в тапках. но есть нюансы. например если у вас высокий подъем как у меня, будет давишь шов где начинается шнуровка я на фото отмечено, надеюсь разносятся. также они предназначены не для широкой стопы, аодтмотурвщмкрибкрите с запасом. когда мерила сразу это не почувствовала - только через два дня поняла при ходьбе",
REV_07074,3104367191,20260314,2026-03-14,5,,
REV_07075,2994839359,20260228,2026-02-28,5,,
REV_07076,2862924600,20260228,2026-02-28,1,"Làm ăn gian dối. Gửi hàng bị bám bẩn nhiều chỗ (như hàng 2nd). Trả hàng thì từ chối đổi cho khách hàng làm bám bẩn.
Mọi người nhận hàng nhớ quay video thật kỹ để có bằng chúng.",
REV_07077,2995025221,20260228,2026-02-28,5,,
REV_07078,2748221561,20260314,2026-03-14,5,,
REV_07079,2748421020,20260228,2026-02-28,5,,
REV_07080,3104207590,20260314,2026-03-14,5,,
REV_07081,2862951476,20260314,2026-03-14,5,,
REV_07082,2748228561,20260307,2026-03-07,5,,
REV_07083,3215187712,20260314,2026-03-14,5,"Đúng kích cỡ, Chất liệu vải cotton mềm mại,",
REV_07084,2994945322,20260307,2026-03-07,5,,
REV_07085,2862995296,20260314,2026-03-14,5,Đúng chất lượng hàng chính hãng,
REV_07086,2862995296,20260307,2026-03-07,5,,
REV_07087,2994888312,20260307,2026-03-07,4,,
REV_07088,2994816451,20260228,2026-02-28,5,,
REV_07089,3215235278,20260314,2026-03-14,5,,
REV_07090,2748373119,20260307,2026-03-07,5,,
REV_07091,2994648576,20260314,2026-03-14,5,,
REV_07092,2994667517,20260314,2026-03-14,5,"Không biết hàng này là ntn, đi vào cũng vừa chân. Nhưng nhìn chất lượng hoàn thiện hơi kém.
Chắc thử lần này thôi.",
REV_07093,2994667517,20260228,2026-02-28,5,,
REV_07094,2994667517,20260314,2026-03-14,5,,
REV_07095,2862992309,20260228,2026-02-28,5,,
REV_07096,2994982244,20260228,2026-02-28,5,,
REV_07097,2863054031,20260307,2026-03-07,2,"ngón út chân phải tôi bị đau và rát , đi mấy ngày ko chịu nổi nên quyết định kiểm tra thì nguyên nhân là do 1 sợi chỉ may mắc vòng bên trong, đầu chỉ khóa nốt bự như con trâu. tôi đang nghiên cứu thò dao và cắt nhưng rất khó và chưa làm xong. hàng thương hiệu nhưng dính lỗi nặng critical. nên có biện pháp khắc phục cho khách.",
REV_07098,2748287393,20260307,2026-03-07,5,,
REV_07099,2994662509,20260307,2026-03-07,5,,
REV_07100,2862968431,20260228,2026-02-28,5,,
REV_07101,2995070023,20260228,2026-02-28,5,"Không có khó chịu, Rất thoải mái,",
REV_07102,2748221484,20260314,2026-03-14,5,shop dễ thương,
