model,mae,rmse,r2,train_start_date,train_end_date,test_start_date,test_end_date
linear_regression,0.41686925420348847,2.7066295575172976,0.021402475292349843,2026-02-20,2026-03-14,2026-03-15,2026-03-20
gradient_boosting,0.420466376219452,2.743310493312545,-0.005301665211116857,2026-02-20,2026-03-14,2026-03-15,2026-03-20
baseline_dummy,0.4222498675767602,2.740992580531226,-0.0036035583779461255,2026-02-20,2026-03-14,2026-03-15,2026-03-20
random_forest,0.480024337694966,2.766119567788701,-0.022088190541641906,2026-02-20,2026-03-14,2026-03-15,2026-03-20
