Order_ID,Date,Product_ID,Quantity
S001,1/5/2024,P01,2
S002,1/12/2024,P03,5
S003,2/15/2024,P02,1
S004,2/20/2024,P01,3
S005,3/01/2024,P04,2
S006,3/10/2024,P03,4
