Product_ID,Product_Name,Category,Unit_Price_USD
P01,MacBook Air M2,Laptop,1200
P02,Asus ROG Strix,Gaming,1500
P03,Logitech G Pro,Accessory,150
P04,"Dell UltraSharp 27""",Monitor,400
